Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
PWY-5705	0.04993985305408806	0.7152118408839376	0.7834226361495933	0.5315685122141414	-0.23910313570843744	0.2581018635536747	-0.7794078927504569	0.2084000014730001
PWY-5741	1.1435023445849015e-4	-0.17492392871319495	-0.3294585349499135	0.15768798340346724	0.4576742670483078	0.33358137711967384	1.1714344764695828	0.14240000244017761
PWY-5747	9.062182220563555e-11	1.9552148753437164	2.1485003483183194	1.3232205848856982	-0.7074560751800973	0.6441655117850242	-1.0333514372766186	0.14397120816523876
PWY-5855	0.009477001030115978	3.0852239461076647	3.177643889689765	2.965369347697389	-0.19576764671414448	0.23977004451002282	-0.7324376404812241	0.21300000142674472
PWY-5856	0.009457066617128914	3.0849272453203307	3.177001941419912	2.965549592058039	-0.19843726024179453	0.2423116015849267	-0.7402158735253239	0.21540000140332935
PWY-5857	0.009495366414957318	3.085322294998081	3.1770221812817576	2.9654923754969182	-0.1953949410774669	0.2421881732944855	-0.7358307958677731	0.21215756992080742
PWY-5918	0.01928694595060537	3.2032404413097426	3.2894508289026962	3.101475722130216	-0.17392165241983681	0.25851707330122364	-0.6364108608498152	0.2467506510050272
PWY-5989	0.0010501821321062367	3.5521932292506913	3.638848514259077	3.4591815970333535	-0.19781661257754557	0.25124136177524203	-0.7675337624152662	0.1874000017106506
PWY-6107	7.965326020176227e-6	-1.527045282303117	-1.6948574098087938	-1.1909666979870446	0.5638521275104154	0.6961472822159482	0.7782377621373759	0.2224000013376644
PWY-6147	0.010429308799587157	3.341900935990359	3.414038108155614	3.25578771791901	-0.15527511203566347	0.2531046707055067	-0.5837871803098389	0.26534693161658635
PWY-6151	1.0343160448702878e-8	2.7140884295986867	2.8638947112379833	2.4409924885266783	-0.3670995090755751	0.37481418734793515	-0.9475196105713903	0.15056988829862417
PWY-621	1.822257284568782e-12	2.3213899773689066	2.5339147732502125	1.5971148984324426	-0.746698388759329	0.6649500646567894	-1.080203717512446	0.14217156813089366
PWY-6269	1.3083698977870077e-10	2.4712574424645233	2.677977319534924	2.0631053727854773	-0.46682443068100277	0.455331492849683	-1.0248521609602297	0.14897020826526233
PWY-6282	0.001063353304777893	3.525397721051988	3.6128456718298474	3.4344362671506534	-0.20555812754121527	0.26068922405587003	-0.7676301503513085	0.19496100941739875
PWY-6338	0.03926119732991365	-1.5354296508751766	-1.755450985527383	-1.4283147104312883	0.27252802851505553	0.7058029978392737	0.3875330718723783	0.32173565354989975
PWY-6353	2.6625098215508967e-4	3.3620473389727463	3.482811307462293	3.262610557699077	-0.20766375907068202	0.2701507788453683	-0.7149595188737006	0.2215556902070747
PWY-6507	0.0010663626296929568	1.7942413948020928	1.5881832415348907	1.9247355921704408	0.33204205136569875	0.4478760376163837	0.7537393824315313	0.19376124938340625
PWY-6519	1.0038965317656649e-8	3.1714402547648146	3.305667297994876	2.9244494590593124	-0.37638389561841556	0.36075277607667156	-1.0197075158291034	0.1348000026094146
PWY-6562	0.001516083787779132	0.2893212658525792	0.4845889635820928	-0.011638124948150974	-0.4956700387662858	0.4759576379748065	-0.9504195190878513	0.15316936835415307
PWY-6608	0.003487737226364206	3.436747771170532	3.5663957604689127	3.3878741753585975	-0.1899530666524809	0.3194746847293075	-0.5513842979629205	0.28374325223611135
PWY-6609	1.6180015463272292e-4	3.1052460937171467	3.25813772491287	3.0397068021426508	-0.23128257674566344	0.4160360218395298	-0.5404469254505055	0.2845430922633285
PWY-6612	5.981445080134584e-6	3.2907071927620115	3.4131198123484507	3.156939666393946	-0.24567224779512165	0.334092043623206	-0.7098066262684073	0.2211557701947521
PWY-6628	5.803807666110574e-7	3.2961148985795896	3.45266078959268	3.1507968063920404	-0.2735264918797853	0.2957674296387456	-0.8649605570602606	0.1738000018930745
PWY-6630	9.797002941197639e-6	3.2365122368403916	3.3807056951330425	3.1225784153617187	-0.23607193897676293	0.269765440290084	-0.8169537623650398	0.182200001777367
PWY-6708	0.009581460957403188	3.085212062396508	3.176767138823864	2.965196554174886	-0.1930750624926434	0.23920724967001172	-0.7218333364718421	0.2151569700113955
PWY-6876	1.2410165358090147e-4	3.445422274515053e-4	-0.09884716066154642	0.1972696846353168	0.4478255470191801	0.7607923172475157	0.5561642736477457	0.3000000007936511
PWY-7097	0.038094070829866995	-1.5360008900524242	-1.7564844268748416	-1.4280163310150193	0.2788985344228756	0.6985367040628283	0.39819813929908365	0.32380000067061376
PWY-7098	0.04190724693864741	-1.3870159127125143	-1.604167506884977	-1.2836252794677252	0.26983825937584527	0.6938190611323405	0.37828638130415293	0.3276000006522056
PWY-7111	0.005526182702155288	4.5901354776075145	4.693823175368308	4.49392212186954	-0.1862698342165241	0.23931362883203988	-0.7051555728767882	0.22540000131065344
PWY-7159	0.0011664530212887618	-2.0054517774448453	-2.343775875620995	-1.7909799122199388	0.5810447795076543	0.6136239698294981	0.9074223370264902	0.1507698483028384
PWY-7184	0.014751701691408199	3.4303111863137925	3.5253056107636365	3.3464163526098782	-0.1606713820543022	0.2648950544102755	-0.5699536774245583	0.2626000010216488
